food_name,calories,sugar,sodium
บะหมี่น้ำเกี๊ยวหมูแดง,305,4,1925
ก๋วยเตี๋ยวเป็ด,330,2,640
บะหมี่แห้งหมูแดง,381,4,1813
ผัดไชโป๊ใส่ไข่,415,16,420
ผัดไทยกุ้งสด,486,12,1078
ผัดไทยวุ้นเส้นกุ้งสด,617,18,958
ผัดบรอกโคลีกุ้ง,230,7,1367
ผัดบวบใส่ไข่,210,5,109
ผัดผักบุ้งไฟแดง,433,9,843
ผัดผักรวมหมู,228,7,1440
ผัดเผ็ดปลาทอดกรอบ,409,8,1617
ผัดพริกขิงกุ้งกับถั่วฝักยาว,274,2,833
ผัดพริกขิงหมูถั่วฝักยาว,517,2,913
ผัดมักกะโรนีกุ้ง,731,16,1496
ผัดมักกะโรนีหมู,514,9,843
พะแนงไก่,230,4,296
พะโล้,210,5,218
ยากิโซบะ,400,8,1564
ยำขนมจีน,220,3,1151
ยำไข่ต้มทรงเครื่อง,188,2,1744
ยำถั่วพู,491,1,100
ยำปลากระป๋อง,55,4,749
ยำปลาดุกฟู,275,5,293
ยำมาม่า,215,2,1600
ยำวุ้นเส้นทะเล,427,19,3024
เย็นตาโฟ,290,4,2313
ราดหน้าบะหมี่กรอบ,515,6,2065
ราดหน้าเส้นใหญ่หมู,509,6,2114
ราดหน้าหมี่กรอบทะเล,690,6,2065
ลาบไก่,165,1,75
ลาบหมู,480,6,2518
วุ้นเส้นผัดไทยกุ้งสด,520,48,2791
สเต๊กไก่,354,5,1152
สเต๊กหมู ,505,7,1269
สุกี้ทะเล,489,15,1119
สุกี้น้ำไก่,261,2,747
สุกี้หมู,467,5,920
เส้นก๋วยเตี๋ยวผัดขี้เมา,578,22,2664
เส้นหมี่ลูกชิ้นน้ำใส,225,2,1432
เส้นใหญ่ผัดซีอิ๊วใส่ไข่,730,2,2051
หมี่ซั่วผัด,491,5,1645
หมูน้ำตก,220,4,1430
หมูปิ้ง,125,2,347
หมูสะเต๊ะ,347,2,336
อกไก่ย่าง,157,0,174
ข้าวกุ้งทอดกระเทียมพริกไทย,540,1,426
ข้าวเหนียวสังขยา,199,5,77
